Label,log_k1_median,log_k1_CI_lower,log_k1_CI_upper,log_k2_median,log_k2_CI_lower,log_k2_CI_upper,m_median,m_CI_lower,m_CI_upper,n_median,n_CI_lower,n_CI_upper,log_sigma_median,log_sigma_CI_lower,log_sigma_CI_upper
NMR_EDA_33C,-4.435114807404101,-4.948855843842194,-4.21499457689764,-2.6718509792934926,-3.022352631951537,-2.2686827704202743,0.5824753937905262,0.4223427972622072,0.7302158568471774,1.5324969204456877,1.40773846775443,1.6726694219273561,-3.6428687516692566,-3.6987555793760967,-3.5852789849060684
NMR_DAB_33C,-6.844282122674661,-9.85307248464053,-4.554598130449173,-3.3222196176420375,-3.4259440422684517,-3.1852635933709403,0.2477613733436091,0.22458871932855318,0.3218515859679873,1.1505926313517914,1.0704753781921716,1.2406177369962013,-3.4049186608008677,-3.462440693691036,-3.334758947528543
NMR_DAB_25C,-7.374853074296949,-9.766277760833134,-5.243498466463715,-3.453768403889322,-3.5786355757063784,-3.3135810773446144,0.31978149514239596,0.29444164246087234,0.365216377024036,1.4078321812954582,1.3203466214863806,1.4935789370828467,-3.708767433065793,-3.8051430701081537,-3.590604044654892
NMR_DAP_25C,-7.502136117722541,-9.966404552075897,-5.122464159781295,-3.306428838830471,-3.3864048788704877,-3.22251195612077,0.2690587035579112,0.25122324589690076,0.2961798340733329,1.4963518341135527,1.444714007806657,1.5466384604141483,-4.058472607825028,-4.190174308724286,-3.901724212780613
NMR_EDA_25C,-7.7023689452917745,-9.849673476998694,-5.448913255031566,-3.3434700579667034,-3.4412832776705105,-3.20445408259759,0.35963053840132075,0.3396802665308373,0.3950944843478401,1.4551230716905486,1.3920585015694074,1.5522023731926142,-3.933368483055588,-4.036244049708547,-3.819704446723852
NMR_DAB_40C,-3.531348556312893,-3.6591430166591863,-3.3976575467415238,-1.293854692191304,-1.538179135856713,-1.0074153220026476,0.9125756653218571,0.8001263487728708,1.0214701061245077,2.2667414597748996,2.166775366805084,2.3889792076917584,-3.5745173089355404,-3.632779167846157,-3.496224635312196
NMR_DAP_40C,-7.822443801982206,-9.86672354017086,-5.270995073442906,-2.7171476141385638,-2.8146274443992505,-2.623485284952802,0.4395942076510961,0.41692631990854057,0.46228069514405595,1.1696489028075594,1.0929398207445629,1.2501467628622835,-3.3750556593885515,-3.456012700825591,-3.2970724520855854
DSC_DAB_100C,-3.146996677750927,-3.197484358440401,-3.098341734325531,-1.9047392364337106,-1.9063743722759825,-1.903268463996547,0.40597438179180234,0.39812552623024017,0.4148821501805358,1.4693621576366616,1.4663209771227643,1.472633778882162,-2.9453614143568525,-2.958972489995304,-2.9313484018214306
DSC_DAB_33C,-5.057560100567367,-5.08442457888866,-5.028976327391234,-3.39053646282665,-3.393727036984381,-3.387172379370391,0.41120840366242534,0.4081956938511245,0.41474022677033295,1.2751991856288578,1.2726114030001021,1.2781982663732105,-3.4700596173026677,-3.479839154910044,-3.4599334182182857
NMR_DAP_33C,-3.3980501942743278,-3.5745386040117673,-3.2801113639110833,-0.4508240595913444,-1.2503286860338358,-0.03250503570430714,1.8678356172055917,1.5016401911740571,2.0649441361352188,1.819325015666542,1.5732160256561394,1.9751830297046504,-3.446999321928031,-3.50912358513193,-3.3582575956382574
NMR_EDA_40C,-8.288401393512935,-9.810490631552971,-6.0291738531848935,-2.5053645677780505,-2.5865273719600617,-2.4267107333402755,0.5206976572852333,0.5052089262238882,0.5358594507453132,1.4175555950562189,1.3467987992040162,1.4752492237802959,-3.5119826979661273,-3.571172265006848,-3.4405105910694296
DSC_EDA_80C,-2.8318792941139295,-2.8423778708367817,-2.820596044491693,-2.5767604847244123,-2.5806504984193044,-2.573162766652517,0.43402021212260655,0.42126578688074545,0.44895757216979565,1.3027402774234171,1.3009518761463248,1.3044683463625897,-2.7926453456468647,-2.8006541806232352,-2.7866470769659206
DSC_EDA_100C,-7.098001904182942,-9.832092783343475,-4.499280133553803,-1.995971242803127,-2.003694879432587,-1.9880181796460576,0.2359696960907698,0.22824158546089127,0.24330422413985817,0.7638541803229315,0.7507704079844368,0.7764394735374333,-2.142474541453743,-2.164717699347741,-2.1153565952900464
DSC_DAB_80C,-3.068880766470749,-3.0848407752022875,-3.056530559785122,-2.3565552051778575,-2.3586707077306874,-2.3546230811751094,0.5328862034442414,0.5203168499622902,0.5432665505750718,1.32849118482812,1.3248787151885406,1.3315970517170306,-2.781270070175319,-2.7891267247446687,-2.772755504816194
DSC_DAP_100C,-2.999673192374501,-3.025684228332958,-2.975545518521491,-1.8991682058059467,-1.9005765439958877,-1.8979586785257734,0.449837664336908,0.44301169645953425,0.45654089534062364,1.72426014430043,1.7215977560538867,1.7270911883961226,-3.018327108665285,-3.0275874248585635,-3.008639939085889
DSC_EDA_60C,-8.086820308686178,-9.898690077314813,-6.226370340248721,-2.94391508209317,-2.9444331055464614,-2.9435074303147775,0.3571802932481748,0.3567996502068885,0.3579096038051803,1.6022806564776475,1.6014834693241264,1.602946377428084,-2.95702584860533,-2.962564726776889,-2.952500566856852
DSC_EDA_33C,-9.181659317007687,-9.963363399925795,-8.01337477538881,-3.666029153948406,-3.667161421666484,-3.664691645606668,0.30802361324363825,0.30769931277389045,0.30846223227700464,1.0868956758209198,1.0857624416660758,1.0882287454577144,-3.6602832311356264,-3.6689553250887776,-3.651459544584901
DSC_DAP_80C,-3.1629650330340784,-3.167097158116812,-3.159099571252445,-2.3523977462420307,-2.353378227977412,-2.351579080997026,0.5625746592384067,0.5591740097055846,0.565699502538461,1.6490746548004815,1.6478449974599765,1.6502907854112867,-3.2375922301142133,-3.245207808808948,-3.2305456858021557
DSC_DAB_60C,-3.392832123976591,-3.3970947878296727,-3.389221380168837,-2.6259120878180484,-2.6310872234467353,-2.6213070713490954,1.025430264013362,1.013269447597824,1.035889948000448,1.499887121720394,1.4947842760558292,1.5040270569382383,-2.5233084932958545,-2.5282707344456803,-2.517096778528981
DSC_DAB_50C,-3.702752551618012,-3.7068880481750948,-3.6992857119947997,-2.971833663553136,-2.9752245297974795,-2.968340161118941,0.8315231066007878,0.8229588519158944,0.8395069758435858,1.363453627116118,1.3597859167068727,1.3667502885912308,-2.6528169243522397,-2.658757878744943,-2.6466383969246663
DSC_EDA_25C,-4.458752835510251,-4.460723127007412,-4.456954023158703,-3.6558910169466152,-3.663384114084372,-3.6487569877611117,1.482822852218907,1.469209041182707,1.4949369273585786,1.3843658503051415,1.3778090882411675,1.390096735288918,-2.3708399273658545,-2.37517592900893,-2.3658333340571245
DSC_EDA_50C,-4.046285023878628,-4.0488736363346165,-4.04362793088314,-3.024147274842963,-3.025918633161488,-3.0225732221703363,0.7692151663146172,0.7659500456579821,0.772460691660004,1.573070578843242,1.5711374303432128,1.5747140782522402,-2.90252956886705,-2.9071154442316103,-2.898395570934405
DSC_DAP_25C,-4.563354457667179,-4.56523034296182,-4.561535257050904,-3.669665533548682,-3.6741016876589825,-3.66501116086588,1.0560548614829757,1.049675932217325,1.0625581818498209,1.147788796133141,1.1442044938570128,1.1510683056529865,-2.7548492628028916,-2.7602312776774673,-2.7503901825745123
DSC_DAP_60C,-3.5487447803055363,-3.550804364771559,-3.546756270950921,-2.772979624544381,-2.7743927968919238,-2.7715179840068247,0.8126695299871924,0.8092203226071231,0.8164037912106766,1.5601634768924815,1.5586778959498062,1.5617470924077144,-2.9338901670956954,-2.938845666829036,-2.928828940927649
DSC_DAP_50C,-3.851059782897166,-3.8526245503150998,-3.8488955915283256,-2.9893453021243426,-2.9910520982920965,-2.987667238538899,0.8814349429713318,0.8782661219669751,0.8855347098875519,1.5570888634000077,1.555483346563082,1.5587632680408243,-2.9132109382667815,-2.917543001627116,-2.90838787247977
DSC_DAB_25C,-4.62219783702756,-4.624137092349675,-4.6206164349380465,-3.582023164360497,-3.5874626850608617,-3.576214969523227,1.309964794202775,1.3024222627098825,1.3172698162463994,1.0610150967331846,1.0562654934029925,1.0662070071275203,-2.6079543020713416,-2.611613796153259,-2.6033098434920117
DSC_DAP_33C,-4.116265619027375,-4.124735661631189,-4.107017609831059,-2.99168513082459,-3.008981774332549,-2.973398187434985,0.8256217217225799,0.8093787605498292,0.8427156793035809,1.731995652948287,1.7234644343292025,1.7414170162160911,-3.0474123741182577,-3.0542585371410564,-3.041242096159628
DSC_DAB_100C,-3.1472391437488145,-3.206357175793701,-3.1005376902363664,-1.9048689736404947,-1.906372479742859,-1.9035044142637099,0.4060585543389269,0.3965073310963988,0.41442793138587936,1.469241101788064,1.4657844571642795,1.4724735106120146,-2.945345336923134,-2.955849662958605,-2.932726655740782
DSC_DAB_33C,-5.056392044019802,-5.084381765894088,-5.0308444726723005,-3.390247358423922,-3.3936294527140904,-3.386948177215049,0.4114498685451846,0.4080340789547628,0.41468922279132003,1.275606005074286,1.2728543612889553,1.2784043789140669,-3.470070172292864,-3.4781490148344867,-3.4599500938291348
DSC_DAB_80C,-3.070228061640739,-3.08198074793117,-3.057341893562084,-2.35656722354555,-2.3586853567435817,-2.3549206688924373,0.5317951097497798,0.5224926095694417,0.5427136863225668,1.3280408684054603,1.324778535387668,1.331454850393902,-2.7816789769814667,-2.7887376981525773,-2.770150353306512
DSC_DAB_60C,-3.3929910056779713,-3.3969564658318254,-3.388769563412467,-2.6261207383475558,-2.6313252560374965,-2.6217693026606597,1.0245796799943505,1.0126804345634464,1.0369129431419162,1.499560026885621,1.4946248439167402,1.5037775332759085,-2.522971716919918,-2.5279400645077112,-2.5182014274064115
DSC_DAB_50C,-3.7028700090312707,-3.7069033242175147,-3.6993507933844594,-2.9721256720798985,-2.9751608551614734,-2.9688642924186,0.8310028171560981,0.8221721380212103,0.8388949778154801,1.363139343486619,1.360182020223784,1.3666136276587495,-2.6527136268084015,-2.6586748279073094,-2.6465790647698566
DSC_DAB_25C,-4.62202431164981,-4.62387338856604,-4.620454122353056,-3.581635705614901,-3.587110938347585,-3.5764776504549127,1.3106429557683836,1.302601192835008,1.3179470449635955,1.061358016232138,1.057006311355345,1.0662790086564191,-2.6077266538509445,-2.612565980361764,-2.6033224110045037
DSC_DAP_100C,-2.9994019865657044,-3.025746045471828,-2.975896749011831,-1.8992057903752455,-1.9007420974993945,-1.8979637142339487,0.44996468809689927,0.44255500678539317,0.4566815621583249,1.7242062420465323,1.7211853712129754,1.726788506717421,-3.0180808962566394,-3.0285116810206265,-3.0089792490448284
DSC_DAP_25C,-4.563292013767162,-4.565007160672501,-4.561143902134085,-3.6697428669730874,-3.6741968637255424,-3.6645576536434636,1.056028212025066,1.0499254836146865,1.0637136231232798,1.1477617522178765,1.144325452173857,1.1517234269832097,-2.7551312560025076,-2.760030000940139,-2.750230503155624
DSC_DAP_33C,-4.117102535562876,-4.1247903588819685,-4.106010891410213,-2.9927402502375577,-3.0101335064819645,-2.969941194363426,0.8240825356228128,0.8109368660332709,0.8448422368772115,1.7316991174188783,1.7221508449053808,1.742801937535239,-3.0476485101726674,-3.0540730504667444,-3.0416732891232487
DSC_DAP_80C,-3.162822377797184,-3.1666551256319058,-3.1585842215231343,-2.3523917133378136,-2.353257191093245,-2.3513971831648,0.562809356169562,0.559710352336396,0.5660813325168377,1.6491510258067739,1.6479221510565427,1.6504254289828932,-3.236941966555543,-3.244905569622898,-3.2269254764969917
DSC_DAP_50C,-3.850769738552619,-3.8531227232764267,-3.849061395795901,-2.989125173377997,-2.991243303749921,-2.98741246199533,0.8820428459605696,0.8773836779585791,0.8857133241031128,1.5573301298045943,1.555457216519032,1.559043144731594,-2.9127628968128225,-2.9181878475880874,-2.908214486907608
DSC_DAP_60C,-3.5488007284326932,-3.550843526327716,-3.5467636889544476,-2.7729414336911375,-2.774389704690168,-2.7714924778351246,0.8126238904310148,0.8089403285912451,0.816131053891546,1.5602725655983622,1.5586983084949533,1.5617611929945152,-2.9336545956502444,-2.938622243288108,-2.929014524326504
DSC_EDA_100C,-7.080097070869755,-9.782227951632143,-4.5720936078207535,-1.9959051657012963,-2.0028336242475424,-1.9884105705329185,0.23556460793265277,0.22850967244744103,0.2431198401443433,0.7636560180150842,0.7523921287008039,0.7755958093344968,-2.143706048129954,-2.1687688553411295,-2.11995696766537
DSC_EDA_33C,-9.225372025536636,-9.919125731663282,-8.0495948962576,-3.6659625756652545,-3.6673641390440994,-3.664162151185819,0.30806086830915985,0.3076031389397646,0.3085339857402791,1.0869865302737565,1.0855483420304473,1.0886504855235073,-3.660193586356592,-3.6691411430041825,-3.650998597575971
DSC_EDA_25C,-4.4587563127536995,-4.460601449893801,-4.456996432376091,-3.6559799846638077,-3.6626113300406145,-3.6480845462950167,1.4826431430550213,1.4708237503676531,1.496068865298358,1.3841053307082571,1.378511139637396,1.3907919295204334,-2.3708435856182115,-2.37556107736371,-2.366384197720398
DSC_EDA_80C,-2.83144895580885,-2.8416088706234697,-2.8229059427154968,-2.5767070542999075,-2.5801993547117417,-2.573139429095094,0.4339321525497884,0.4212777452270901,0.446797705868323,1.3027761038313348,1.3009349829081143,1.3044272018298535,-2.793165436391102,-2.8008505318536745,-2.786159436885678
DSC_EDA_60C,-8.13468819384541,-9.917743867667841,-6.2141016219088385,-2.9439227142225164,-2.944388848947831,-2.9434738026581275,0.35719201972354736,0.3568257930012892,0.35782808869574795,1.602254601936732,1.601461710334039,1.602982071371053,-2.9570674744131873,-2.962324139850162,-2.9523596248426633
DSC_EDA_50C,-4.046461685116101,-4.048719047155863,-4.044088768281563,-3.024338296997972,-3.0259676556229023,-3.0227546589277954,0.768797888935065,0.765963269162866,0.7717162294459754,1.5728588621522381,1.5711662120043521,1.5744929924115791,-2.9026446388390243,-2.9073155029291073,-2.897632083735119
NMR_DAB_25C,-8.085649495592309,-9.850172520855514,-5.272514735029764,-3.4520830534565983,-3.5777733945243915,-3.321874495896322,0.3187155258801333,0.293761641874084,0.3567545917617538,1.4080310051782372,1.3235987784175594,1.5017220304349197,-3.704909053052666,-3.804903349737896,-3.5903270207524027
NMR_DAB_33C,-6.901253839052945,-9.918450789471276,-4.757693849444796,-3.329397143375318,-3.4208973284688495,-3.204397966883221,0.24541600739908842,0.2260673349321239,0.29833489944326125,1.1494278159408928,1.0737202716315368,1.2213012337656204,-3.407130653423196,-3.4659916007396463,-3.328507006246586
NMR_DAB_40C,-3.5287318317079235,-3.7069857487135787,-3.40870229955522,-1.2888996277333302,-1.6127370542484971,-1.0258205186488596,0.9079176561490439,0.7717052707102039,1.0241651438288613,2.2755423243043724,2.1478223595674812,2.3742281396986638,-3.5698363130438233,-3.6256699919684183,-3.510702236051077
NMR_DAP_25C,-7.978899182263328,-9.933291665369717,-4.961311727196593,-3.301562882282423,-3.385525143250826,-3.220499239805064,0.2691407666576122,0.25041063818406556,0.29813735308880784,1.4983966476069277,1.4393734493007668,1.5587670141529821,-4.060167683748492,-4.1647571918709065,-3.9057845691669235
NMR_DAP_33C,-3.401866191130723,-3.557148430529254,-3.2915431061579783,-0.4792139026579214,-1.2692269524606024,-0.04741837973962131,1.8656763627331725,1.5173546708988812,2.0883338360902486,1.8077841061645867,1.5886552169587926,1.9608389367455572,-3.4442443753959013,-3.5015623177434274,-3.3751426406795924
