sample,temp,scan,timestamp,n_avg,A,A_err,T2,T2_err,beta,beta_err,dropped,elapsed_min,alpha
EDA,25C,1,2020-02-27 19:45:58,1,18.531398714865123,0.13468778664050163,0.012806757989155825,0.00019111258133432262,0.5943189135635976,0.004429084328382697,False,0.0,
EDA,25C,2,2020-02-27 19:53:50,1,18.244951179772812,0.13108326564356101,0.013264248432450892,0.00019118231125585193,0.6151592453016876,0.0046684456340285625,False,7.866666666666666,0.0
EDA,25C,3,2020-02-27 20:01:42,1,18.01838356779038,0.1307088557077511,0.012859718536618549,0.0001832347459999558,0.6345921635438165,0.00499299263111324,False,15.733333333333333,0.030497762303868137
EDA,25C,4,2020-02-27 20:09:34,1,17.798648667391767,0.13178268849405467,0.01203019406872199,0.00017299028983844218,0.6451282175125872,0.00525270557505039,False,23.6,0.09303613167481073
EDA,25C,5,2020-02-27 20:17:26,1,17.95951943060255,0.13645022872234805,0.010829664733773189,0.00015960192337037722,0.646094305227872,0.0054020889341209796,False,31.466666666666665,0.18354479042487704
EDA,25C,6,2020-02-27 20:25:18,1,17.5415986013714,0.1370507039976023,0.010374476970365002,0.00015297653129067018,0.6725309068628154,0.005983401364363727,False,39.333333333333336,0.2178616811048324
EDA,25C,7,2020-02-27 20:33:10,1,17.428092038922557,0.1434093850003701,0.0093775659782445,0.00014505843936774568,0.6762171703032799,0.0063623920207380984,False,47.2,0.29301942541257375
EDA,25C,8,2020-02-27 20:41:02,1,17.535004560613526,0.15321841069455164,0.008179327967639361,0.00013378303737158107,0.6800882839770738,0.006822146539621123,False,55.06666666666667,0.38335533978474867
EDA,25C,9,2020-02-27 20:49:00,1,17.416742341214885,0.11485220080417578,0.007216200962872847,8.832076445956447e-05,0.6882428740363254,0.005259072571263835,False,63.03333333333333,0.4559660881186105
EDA,25C,10,2020-02-27 20:57:00,1,17.336503296311026,0.12236583438157175,0.006259214444297321,8.160355104406702e-05,0.6926190118411957,0.005688892023085074,False,71.03333333333333,0.5281139013512295
EDA,25C,11,2020-02-27 21:04:58,1,17.1491957900252,0.13114661331786004,0.005376206420089904,7.550787414000968e-05,0.6978379784785129,0.006241173588230402,False,79.0,0.5946844295424193
EDA,25C,12,2020-02-27 21:12:56,1,17.19625702308002,0.1504935387746182,0.004405031753315257,7.09235572377213e-05,0.6951343022297647,0.007075398346893443,False,86.96666666666667,0.6679018961573143
EDA,25C,13,2020-02-27 21:20:54,1,17.3264205902259,0.1659270974311379,0.003548070960918023,6.292580303558273e-05,0.687222872656505,0.00755744703489625,False,94.93333333333334,0.7325087072225146
EDA,25C,14,2020-02-27 21:28:52,1,17.028657342649883,0.1847840861703778,0.002874088137427208,5.771400088203887e-05,0.6865244617940917,0.008517391044899769,False,102.9,0.7833206945675285
EDA,25C,15,2020-02-27 21:44:48,2,17.018092632555657,0.17160204460646503,0.0019305178572907873,3.631171683330891e-05,0.6749046382092104,0.0075997604319365045,False,118.83333333333333,0.8544570491783169
EDA,25C,17,2020-02-27 22:08:56,4,17.0194798690895,0.14537464049651516,0.000764563210072002,1.2543561588476899e-05,0.6315454597346383,0.005475953261599084,False,142.96666666666667,0.9423591005577441
EDA,25C,21,2020-02-27 22:41:08,4,15.6869983591648,0.3419458345437629,0.0002199577605950388,8.626657141289438e-06,0.641690248533386,0.012670985973783112,False,175.16666666666666,0.9834172466148241
EDA,25C,25,2020-02-27 23:12:24,4,11.851427247164114,0.6369201696491873,9.910077291537077e-05,7.9895017439735e-06,0.7407774968960863,0.03338807112361894,False,206.43333333333334,0.9925287306385998
EDA,25C,29,2020-02-27 23:43:24,4,5.757316978874293,0.3791229112947411,0.00010832427348581477,7.760738403496158e-06,1.1511535899578922,0.08875121004724831,False,237.43333333333334,0.9918333651516357
EDA,25C,33,2020-02-28 00:14:24,4,3.3243114662271593,0.1881883456260479,0.00013930786818289545,7.046372055734656e-06,1.619681927611146,0.1600703464081987,False,268.43333333333334,0.9894974925347387
EDA,25C,37,2020-02-28 00:45:26,4,2.8151055739531614,0.19626928601746707,0.00015376280411283504,1.0698088734295219e-05,1.4016226561955998,0.15479285342870233,False,299.46666666666664,0.9884077258582812
EDA,25C,41,2020-02-28 01:16:28,4,2.7896981468445845,0.21352381617813476,0.00015439611021940373,1.2278904353939723e-05,1.3219142677646087,0.15235608418520252,False,330.5,0.9883599805141108
EDA,25C,45,2020-02-28 01:47:32,4,2.5084995323731447,0.18272633738105207,0.00016502205321346333,1.2307452898806724e-05,1.3686859664576432,0.15798545410250323,False,361.56666666666666,0.9875588840141339
EDA,25C,49,2020-02-28 02:18:36,4,2.7136055517667517,0.22018711890861825,0.0001475315133266324,1.2343408982117589e-05,1.3245977006396725,0.15974969789159826,False,392.6333333333333,0.9888775067748506
EDA,25C,53,2020-02-28 02:49:42,4,2.095426952293273,0.1333029957306734,0.000166080048432167,9.57107399398355e-06,1.6608688491840151,0.19937235846466553,False,423.73333333333335,0.987479121091712
EDA,25C,57,2020-02-28 03:20:48,4,2.362338805575021,0.17742144184457984,0.00016424373049781906,1.2636413654529328e-05,1.3663275164757012,0.16213618216959755,False,454.8333333333333,0.9876175622513222
EDA,25C,61,2020-02-28 03:51:54,4,2.349845590316116,0.1939069144882589,0.00015169531564867569,1.2548022754920758e-05,1.3883481535804512,0.1791597932934965,False,485.93333333333334,0.9885635951089732
EDA,25C,65,2020-02-28 04:23:02,4,2.179950658210395,0.14473751737373194,0.00016823661834505704,1.015921006112012e-05,1.6553806881763349,0.20750386916443495,False,517.0666666666667,0.9873165359347864
EDA,25C,69,2020-02-28 04:54:12,4,2.35356887806986,0.1511217271664137,0.00015353724530040177,8.65245002787786e-06,1.7140076219786102,0.20887109090688744,False,548.2333333333333,0.9884247308784737
EDA,25C,73,2020-02-28 05:25:22,4,2.3539605339505685,0.1758080293610819,0.00015591854643767075,1.1338095481519923e-05,1.4587955537300217,0.179652565651305,False,579.4,0.9882452030937375
EDA,25C,77,2020-02-28 05:56:32,4,2.1895948962286624,0.1713982624223914,0.0001560164740811939,1.1579651941235862e-05,1.5195912379827823,0.2035091715848932,False,610.5666666666667,0.988237820267336
EDA,25C,81,2020-02-28 06:27:44,4,2.4636597354436276,0.20204342587673393,0.00015020833718742475,1.3047706359211872e-05,1.2788088036088483,0.15203818427009813,False,641.7666666666667,0.9886756993468291
